ETF,ETF_Display_Name,Sector,Representative_Stock_Ticker,Representative_Company_Name,Why_Selected,Permno,Date,Open,High,Low,Close,Price,Return,Volume
XLI,XLI (Industrials),Industrials,CAT,CATERPILLAR INC,Representative large-cap industrial stock,18542,2023-04-06,212.67,213.0,208.94,209.17,209.17,-0.020419,4180062.0
XLI,XLI (Industrials),Industrials,CAT,CATERPILLAR INC,Representative large-cap industrial stock,18542,2023-04-10,210.22,216.09,209.32,215.53,215.53,0.030406,3838965.0
XLI,XLI (Industrials),Industrials,CAT,CATERPILLAR INC,Representative large-cap industrial stock,18542,2023-04-11,216.17,222.9,216.17,220.6,220.6,0.023523,3882026.0
XLI,XLI (Industrials),Industrials,CAT,CATERPILLAR INC,Representative large-cap industrial stock,18542,2023-04-12,222.15,223.215,219.89,220.5,220.5,-0.000453,2385141.0
XLI,XLI (Industrials),Industrials,CAT,CATERPILLAR INC,Representative large-cap industrial stock,18542,2023-04-13,219.94,222.18,216.66,221.67,221.67,0.005306,2909059.0
XLI,XLI (Industrials),Industrials,CAT,CATERPILLAR INC,Representative large-cap industrial stock,18542,2023-04-14,222.99,225.83,221.44,223.68,223.68,0.009068,2246904.0
XLI,XLI (Industrials),Industrials,CAT,CATERPILLAR INC,Representative large-cap industrial stock,18542,2023-04-17,225.01,226.92,224.3,225.24,225.24,0.006974,1751839.0
XLI,XLI (Industrials),Industrials,CAT,CATERPILLAR INC,Representative large-cap industrial stock,18542,2023-04-18,225.56,227.5,224.06,225.2,225.2,-0.000178,2567096.0
XLI,XLI (Industrials),Industrials,CAT,CATERPILLAR INC,Representative large-cap industrial stock,18542,2023-04-19,224.8,225.15,222.41,224.65,224.65,-0.002442,2078502.0
XLI,XLI (Industrials),Industrials,CAT,CATERPILLAR INC,Representative large-cap industrial stock,18542,2023-04-20,222.42,224.22,220.93,222.27,222.27,-0.010594,2826825.0
XLI,XLI (Industrials),Industrials,CAT,CATERPILLAR INC,Representative large-cap industrial stock,18542,2023-04-21,220.67,220.99,217.5,220.27,220.27,-0.003599,2712742.0
XLI,XLI (Industrials),Industrials,CAT,CATERPILLAR INC,Representative large-cap industrial stock,18542,2023-04-24,220.53,223.685,220.53,223.43,223.43,0.014346,2790653.0
XLI,XLI (Industrials),Industrials,CAT,CATERPILLAR INC,Representative large-cap industrial stock,18542,2023-04-25,222.36,223.2288,218.27,218.63,218.63,-0.021483,2505596.0
XLI,XLI (Industrials),Industrials,CAT,CATERPILLAR INC,Representative large-cap industrial stock,18542,2023-04-26,217.73,220.39,216.12,216.19,216.19,-0.01116,3254731.0
XLI,XLI (Industrials),Industrials,CAT,CATERPILLAR INC,Representative large-cap industrial stock,18542,2023-04-27,210.48,216.08,204.04,214.33,214.33,-0.008604,7711149.0
XLI,XLI (Industrials),Industrials,CAT,CATERPILLAR INC,Representative large-cap industrial stock,18542,2023-04-28,213.24,220.555,213.0,218.8,218.8,0.020856,4669549.0
XLI,XLI (Industrials),Industrials,CAT,CATERPILLAR INC,Representative large-cap industrial stock,18542,2023-05-01,219.342,221.96,216.53,217.27,217.27,-0.006993,2876412.0
XLI,XLI (Industrials),Industrials,CAT,CATERPILLAR INC,Representative large-cap industrial stock,18542,2023-05-02,217.11,217.11,210.59,215.15,215.15,-0.009757,2857991.0
XLI,XLI (Industrials),Industrials,CAT,CATERPILLAR INC,Representative large-cap industrial stock,18542,2023-05-03,215.64,219.17,214.86,215.64,215.64,0.002277,2635075.0
XLI,XLI (Industrials),Industrials,CAT,CATERPILLAR INC,Representative large-cap industrial stock,18542,2023-05-04,216.05,216.93,209.33,210.38,210.38,-0.024393,3211007.0
XLI,XLI (Industrials),Industrials,CAT,CATERPILLAR INC,Representative large-cap industrial stock,18542,2023-05-05,213.59,215.68,212.4,215.09,215.09,0.022388,2716550.0
XLI,XLI (Industrials),Industrials,CAT,CATERPILLAR INC,Representative large-cap industrial stock,18542,2023-05-08,216.44,218.11,213.63,214.79,214.79,-0.001395,2414108.0
XLI,XLI (Industrials),Industrials,CAT,CATERPILLAR INC,Representative large-cap industrial stock,18542,2023-05-09,213.74,215.3937,211.95,213.49,213.49,-0.006052,4111863.0
XLI,XLI (Industrials),Industrials,CAT,CATERPILLAR INC,Representative large-cap industrial stock,18542,2023-05-10,215.43,215.99,210.19,213.17,213.17,-0.001499,2446106.0
XLI,XLI (Industrials),Industrials,CAT,CATERPILLAR INC,Representative large-cap industrial stock,18542,2023-05-11,209.0,210.28,208.415,210.03,210.03,-0.01473,3263278.0
XLI,XLI (Industrials),Industrials,CAT,CATERPILLAR INC,Representative large-cap industrial stock,18542,2023-05-12,211.71,212.55,207.93,209.54,209.54,-0.002333,2172580.0
XLI,XLI (Industrials),Industrials,CAT,CATERPILLAR INC,Representative large-cap industrial stock,18542,2023-05-15,210.31,213.305,209.15,211.29,211.29,0.008352,1925794.0
XLI,XLI (Industrials),Industrials,CAT,CATERPILLAR INC,Representative large-cap industrial stock,18542,2023-05-16,210.05,210.265,207.05,207.2,207.2,-0.019357,2771733.0
XLI,XLI (Industrials),Industrials,CAT,CATERPILLAR INC,Representative large-cap industrial stock,18542,2023-05-17,209.28,213.835,208.65,212.1,212.1,0.023649,2897517.0
XLI,XLI (Industrials),Industrials,CAT,CATERPILLAR INC,Representative large-cap industrial stock,18542,2023-05-18,211.0,215.66,210.23,214.72,214.72,0.012353,2643586.0
XLI,XLI (Industrials),Industrials,CAT,CATERPILLAR INC,Representative large-cap industrial stock,18542,2023-05-19,219.46,219.8894,212.95,214.78,214.78,0.000279,4402093.0
XLI,XLI (Industrials),Industrials,CAT,CATERPILLAR INC,Representative large-cap industrial stock,18542,2023-05-22,214.25,217.16,211.89,214.26,214.26,-0.002421,2540614.0
XLI,XLI (Industrials),Industrials,CAT,CATERPILLAR INC,Representative large-cap industrial stock,18542,2023-05-23,213.2,215.26,211.35,212.71,212.71,-0.007234,2298512.0
XLI,XLI (Industrials),Industrials,CAT,CATERPILLAR INC,Representative large-cap industrial stock,18542,2023-05-24,211.81,212.48,209.22,209.7,209.7,-0.014151,2963968.0
XLI,XLI (Industrials),Industrials,CAT,CATERPILLAR INC,Representative large-cap industrial stock,18542,2023-05-25,209.69,211.785,208.6,209.98,209.98,0.001335,2243773.0
XLI,XLI (Industrials),Industrials,CAT,CATERPILLAR INC,Representative large-cap industrial stock,18542,2023-05-26,211.74,213.28,210.205,211.8,211.8,0.008667,1973881.0
XLI,XLI (Industrials),Industrials,CAT,CATERPILLAR INC,Representative large-cap industrial stock,18542,2023-05-30,211.18,212.89,208.25,209.9,209.9,-0.008971,2885893.0
XLI,XLI (Industrials),Industrials,CAT,CATERPILLAR INC,Representative large-cap industrial stock,18542,2023-05-31,209.13,210.78,205.6,205.75,205.75,-0.019771,5936977.0
XLI,XLI (Industrials),Industrials,CAT,CATERPILLAR INC,Representative large-cap industrial stock,18542,2023-06-01,207.68,210.57,206.04,209.07,209.07,0.016136,2989150.0
XLI,XLI (Industrials),Industrials,CAT,CATERPILLAR INC,Representative large-cap industrial stock,18542,2023-06-02,214.95,227.78,214.01,226.63,226.63,0.083991,8358196.0
XLI,XLI (Industrials),Industrials,CAT,CATERPILLAR INC,Representative large-cap industrial stock,18542,2023-06-05,226.99,227.58,220.75,222.47,222.47,-0.018356,3901238.0
XLI,XLI (Industrials),Industrials,CAT,CATERPILLAR INC,Representative large-cap industrial stock,18542,2023-06-06,221.86,228.27,221.45,226.68,226.68,0.018924,3230095.0
XLI,XLI (Industrials),Industrials,CAT,CATERPILLAR INC,Representative large-cap industrial stock,18542,2023-06-07,227.81,236.36,226.28,235.55,235.55,0.03913,5586408.0
XLI,XLI (Industrials),Industrials,CAT,CATERPILLAR INC,Representative large-cap industrial stock,18542,2023-06-08,234.54,236.28,231.74,234.45,234.45,-0.00467,3548041.0
XLI,XLI (Industrials),Industrials,CAT,CATERPILLAR INC,Representative large-cap industrial stock,18542,2023-06-09,235.7,235.81,231.43,235.03,235.03,0.002474,2489663.0
XLI,XLI (Industrials),Industrials,CAT,CATERPILLAR INC,Representative large-cap industrial stock,18542,2023-06-12,235.23,238.885,233.3201,237.9,237.9,0.012211,3645004.0
XLI,XLI (Industrials),Industrials,CAT,CATERPILLAR INC,Representative large-cap industrial stock,18542,2023-06-13,240.08,246.68,239.68,245.44,245.44,0.031694,4335106.0
XLI,XLI (Industrials),Industrials,CAT,CATERPILLAR INC,Representative large-cap industrial stock,18542,2023-06-14,246.8,248.32,241.57,243.32,243.32,-0.008638,3122386.0
XLI,XLI (Industrials),Industrials,CAT,CATERPILLAR INC,Representative large-cap industrial stock,18542,2023-06-15,244.0,248.3782,243.48,247.67,247.67,0.017878,2743898.0
XLI,XLI (Industrials),Industrials,CAT,CATERPILLAR INC,Representative large-cap industrial stock,18542,2023-06-16,249.4,250.89,244.97,245.27,245.27,-0.00969,5261185.0
XLI,XLI (Industrials),Industrials,CAT,CATERPILLAR INC,Representative large-cap industrial stock,18542,2023-06-20,242.33,243.215,240.55,241.15,241.15,-0.016798,2980704.0
XLI,XLI (Industrials),Industrials,CAT,CATERPILLAR INC,Representative large-cap industrial stock,18542,2023-06-21,238.84,245.26,238.0313,241.48,241.48,0.001368,2892473.0
XLI,XLI (Industrials),Industrials,CAT,CATERPILLAR INC,Representative large-cap industrial stock,18542,2023-06-22,240.23,240.98,235.95,237.34,237.34,-0.017144,2423665.0
XLI,XLI (Industrials),Industrials,CAT,CATERPILLAR INC,Representative large-cap industrial stock,18542,2023-06-23,234.44,235.86,231.28,234.44,234.44,-0.012219,3354027.0
XLI,XLI (Industrials),Industrials,CAT,CATERPILLAR INC,Representative large-cap industrial stock,18542,2023-06-26,235.46,239.6225,235.125,236.95,236.95,0.010706,1748332.0
XLI,XLI (Industrials),Industrials,CAT,CATERPILLAR INC,Representative large-cap industrial stock,18542,2023-06-27,237.48,240.84,235.32,240.69,240.69,0.015784,2283013.0
XLI,XLI (Industrials),Industrials,CAT,CATERPILLAR INC,Representative large-cap industrial stock,18542,2023-06-28,239.29,242.05,237.86,241.87,241.87,0.004903,2200056.0
XLI,XLI (Industrials),Industrials,CAT,CATERPILLAR INC,Representative large-cap industrial stock,18542,2023-06-29,241.94,246.8628,241.37,244.24,244.24,0.009799,2070085.0
XLI,XLI (Industrials),Industrials,CAT,CATERPILLAR INC,Representative large-cap industrial stock,18542,2023-06-30,246.57,246.9344,243.89,246.05,246.05,0.007411,2377993.0
XLI,XLI (Industrials),Industrials,CAT,CATERPILLAR INC,Representative large-cap industrial stock,18542,2023-07-03,245.95,248.39,245.27,247.33,247.33,0.005202,1045746.0
XLI,XLI (Industrials),Industrials,CAT,CATERPILLAR INC,Representative large-cap industrial stock,18542,2023-07-05,245.0,247.5,244.1183,244.83,244.83,-0.010108,1820710.0
XLI,XLI (Industrials),Industrials,CAT,CATERPILLAR INC,Representative large-cap industrial stock,18542,2023-07-06,242.75,243.87,238.84,240.58,240.58,-0.017359,3081719.0
