ETF,ETF_Display_Name,Sector,Representative_Stock_Ticker,Representative_Company_Name,Why_Selected,Permno,Date,Open,High,Low,Close,Price,Return,Volume,Growth_Index,Cumulative_Return,Running_Peak,Drawdown
XLE,XLE (Energy),Energy,XOM,EXXON MOBIL CORP,Representative large-cap energy stock,11850,2023-01-10,109.79,110.33,108.005,110.09,110.09,0.014935,15104595.0,2.9478763363698723,1.9478763363698723,3.0573986680472154,-0.035822064299941614
XLE,XLE (Energy),Energy,XOM,EXXON MOBIL CORP,Representative large-cap energy stock,11850,2023-01-11,110.99,111.45,109.085,111.37,111.37,0.011627,16710366.0,2.982151294532845,1.9821512945328452,3.0573986680472154,-0.024611567441556903
XLE,XLE (Energy),Energy,XOM,EXXON MOBIL CORP,Representative large-cap energy stock,11850,2023-01-12,111.82,113.74,111.74,113.22,113.22,0.016611,15357321.0,3.0316878096863302,2.0316878096863302,3.0573986680472154,-0.008409390188328647
XLE,XLE (Energy),Energy,XOM,EXXON MOBIL CORP,Representative large-cap energy stock,11850,2023-01-13,113.11,113.49,112.16,113.15,113.15,-0.000618,12011358.0,3.029814226619944,2.029814226619944,3.0573986680472154,-0.009022193185192151
XLE,XLE (Energy),Energy,XOM,EXXON MOBIL CORP,Representative large-cap energy stock,11850,2023-01-17,113.41,114.08,112.67,112.93,112.93,-0.001944,16542201.0,3.023924267763395,2.023924267763395,3.0573986680472154,-0.010948654041640138
XLE,XLE (Energy),Energy,XOM,EXXON MOBIL CORP,Representative large-cap energy stock,11850,2023-01-18,113.26,114.12,110.3987,110.61,110.61,-0.020544,16399690.0,2.961800767606464,1.961800767606464,3.0573986680472154,-0.031267724893008664
XLE,XLE (Energy),Energy,XOM,EXXON MOBIL CORP,Representative large-cap energy stock,11850,2023-01-19,110.07,112.13,109.58,111.32,111.32,0.006419,12928021.0,2.9808125667337295,1.9808125667337295,3.0573986680472154,-0.025049432419096962
XLE,XLE (Energy),Energy,XOM,EXXON MOBIL CORP,Representative large-cap energy stock,11850,2023-01-20,111.36,113.44,110.61,113.35,113.35,0.018236,16515614.0,3.0351706647006855,2.0351706647006855,3.0573986680472154,-0.0072702338686917445
XLE,XLE (Energy),Energy,XOM,EXXON MOBIL CORP,Representative large-cap energy stock,11850,2023-01-23,113.64,114.59,112.64,112.76,112.76,-0.005205,16584422.0,3.0193726013909186,2.0193726013909186,3.0573986680472154,-0.01243739230140517
XLE,XLE (Energy),Energy,XOM,EXXON MOBIL CORP,Representative large-cap energy stock,11850,2023-01-24,109.16,114.02,99.23,113.81,113.81,0.009312,13583025.0,3.0474889990550706,2.0474889990550706,3.0573986680472154,-0.0032412092985159013
XLE,XLE (Energy),Energy,XOM,EXXON MOBIL CORP,Representative large-cap energy stock,11850,2023-01-25,113.23,113.65,111.39,113.21,113.21,-0.005272,11914727.0,3.031422637052052,2.031422637052052,3.0573986680472154,-0.008496121643094212
XLE,XLE (Energy),Energy,XOM,EXXON MOBIL CORP,Representative large-cap energy stock,11850,2023-01-26,114.72,117.78,114.335,117.76,117.76,0.040191,21019678.0,3.1532585442578114,2.1532585442578114,3.1532585442578114,0.0
XLE,XLE (Energy),Energy,XOM,EXXON MOBIL CORP,Representative large-cap energy stock,11850,2023-01-27,116.95,117.67,115.39,115.61,115.61,-0.018258,15179207.0,3.095686349756752,2.095686349756752,3.1532585442578114,-0.018257999999999996
XLE,XLE (Energy),Energy,XOM,EXXON MOBIL CORP,Representative large-cap energy stock,11850,2023-01-30,115.09,115.49,113.1519,113.56,113.56,-0.017732,18672053.0,3.0407936394028656,2.0407936394028656,3.1532585442578114,-0.03566624914399996
XLE,XLE (Energy),Energy,XOM,EXXON MOBIL CORP,Representative large-cap energy stock,11850,2023-01-31,112.1,116.4,110.43,116.01,116.01,0.021575,27861849.0,3.106398762172982,2.106398762172982,3.1532585442578114,-0.01486074846928187
XLE,XLE (Energy),Energy,XOM,EXXON MOBIL CORP,Representative large-cap energy stock,11850,2023-02-01,115.83,117.38,113.34,114.74,114.74,-0.010947,19464873.0,3.0723930149234744,2.0723930149234744,3.1532585442578114,-0.025645067855788684
XLE,XLE (Energy),Energy,XOM,EXXON MOBIL CORP,Representative large-cap energy stock,11850,2023-02-02,114.85,115.07,109.83,111.15,111.15,-0.031288,24562123.0,2.976263982272549,1.976263982272549,3.1532585442578114,-0.05613068497271667
XLE,XLE (Energy),Energy,XOM,EXXON MOBIL CORP,Representative large-cap energy stock,11850,2023-02-03,111.9,114.11,111.56,111.92,111.92,0.006928,20226609.0,2.9968835391417334,1.9968835391417334,3.1532585442578114,-0.04959155835820761
XLE,XLE (Energy),Energy,XOM,EXXON MOBIL CORP,Representative large-cap energy stock,11850,2023-02-06,112.36,113.09,110.32,111.73,111.73,-0.001698,13855205.0,2.991794830892271,1.991794830892271,3.1532585442578114,-0.05120535189211528
XLE,XLE (Energy),Energy,XOM,EXXON MOBIL CORP,Representative large-cap energy stock,11850,2023-02-07,112.39,115.31,112.021,114.92,114.92,0.028551,16013314.0,3.0772135651090764,2.0772135651090764,3.1532585442578114,-0.024116315893986995
XLE,XLE (Energy),Energy,XOM,EXXON MOBIL CORP,Representative large-cap energy stock,11850,2023-02-08,115.05,115.83,113.85,113.92,113.92,-0.008702,18459678.0,3.0504356526654974,2.0504356526654974,3.1532585442578114,-0.03260845571307747
XLE,XLE (Energy),Energy,XOM,EXXON MOBIL CORP,Representative large-cap energy stock,11850,2023-02-09,114.62,116.24,114.18,114.35,114.35,0.003775,17439311.0,3.06195104725431,2.06195104725431,3.1532585442578114,-0.02895655263339425
XLE,XLE (Energy),Energy,XOM,EXXON MOBIL CORP,Representative large-cap energy stock,11850,2023-02-10,116.51,119.63,116.16,119.17,119.17,0.042151,24918616.0,3.1910153458471266,2.1910153458471266,3.1910153458471266,0.0
XLE,XLE (Energy),Energy,XOM,EXXON MOBIL CORP,Representative large-cap energy stock,11850,2023-02-13,117.72,118.18,115.9,117.8,117.8,-0.00386,14536241.0,3.1786980266121567,2.1786980266121567,3.1910153458471266,-0.0038599999999999746
XLE,XLE (Energy),Energy,XOM,EXXON MOBIL CORP,Representative large-cap energy stock,11850,2023-02-14,117.01,117.81,116.0169,116.42,116.42,-0.011715,12078992.0,3.1414595792303954,2.1414595792303954,3.1910153458471266,-0.015529780099999946
XLE,XLE (Energy),Energy,XOM,EXXON MOBIL CORP,Representative large-cap energy stock,11850,2023-02-15,115.72,116.09,114.14,116.07,116.07,-0.003006,13673360.0,3.132016351735229,2.132016351735229,3.1910153458471266,-0.018489097581019354
XLE,XLE (Energy),Energy,XOM,EXXON MOBIL CORP,Representative large-cap energy stock,11850,2023-02-16,115.31,116.78,114.8,115.73,115.73,-0.002929,11360604.0,3.122842675840997,2.122842675840997,3.1910153458471266,-0.021363943014204412
XLE,XLE (Energy),Energy,XOM,EXXON MOBIL CORP,Representative large-cap energy stock,11850,2023-02-17,114.19,114.19,110.9799,111.28,111.28,-0.038452,20758331.0,3.002763129269559,2.002763129269559,3.1910153458471266,-0.0589944566774222
XLE,XLE (Energy),Energy,XOM,EXXON MOBIL CORP,Representative large-cap energy stock,11850,2023-02-21,110.81,112.38,110.81,111.17,111.17,-0.000988,14469431.0,2.9997963992978405,1.9997963992978405,3.1910153458471266,-0.05992417015422491
XLE,XLE (Energy),Energy,XOM,EXXON MOBIL CORP,Representative large-cap energy stock,11850,2023-02-22,110.48,110.97,108.64,109.73,109.73,-0.012953,13973841.0,2.9609400365377354,1.9609400365377354,3.1910153458471266,-0.07210097237821733
XLE,XLE (Energy),Energy,XOM,EXXON MOBIL CORP,Representative large-cap energy stock,11850,2023-02-23,110.73,111.83,109.9,110.74,110.74,0.009204,11289402.0,2.9881925286340287,1.9881925286340287,3.1910153458471266,-0.0635605897279864
XLE,XLE (Energy),Energy,XOM,EXXON MOBIL CORP,Representative large-cap energy stock,11850,2023-02-24,109.33,110.96,109.02,110.75,110.75,9e-05,14351036.0,2.988461465961606,1.9884614659616058,3.1910153458471266,-0.06347631018106192
XLE,XLE (Energy),Energy,XOM,EXXON MOBIL CORP,Representative large-cap energy stock,11850,2023-02-27,110.8,111.26,109.9601,110.55,110.55,-0.001806,11710453.0,2.983064304554079,1.983064304554079,3.1910153458471266,-0.06516767196487494
XLE,XLE (Energy),Energy,XOM,EXXON MOBIL CORP,Representative large-cap energy stock,11850,2023-02-28,111.24,111.36,109.22,109.91,109.91,-0.005789,18107031.0,2.965795345295015,1.9657953452950152,3.1910153458471266,-0.07057941631187037
XLE,XLE (Energy),Energy,XOM,EXXON MOBIL CORP,Representative large-cap energy stock,11850,2023-03-01,109.31,111.86,109.24,110.89,110.89,0.008916,13199955.0,2.9922383765936655,1.9922383765936655,3.1910153458471266,-0.06229270238770701
XLE,XLE (Energy),Energy,XOM,EXXON MOBIL CORP,Representative large-cap energy stock,11850,2023-03-02,110.615,111.695,110.17,111.4,111.4,0.004599,10343084.0,3.0059996808876197,2.0059996808876197,3.1910153458471266,-0.05798018652598813
XLE,XLE (Energy),Energy,XOM,EXXON MOBIL CORP,Representative large-cap energy stock,11850,2023-03-03,110.05,113.37,109.95,112.81,112.81,0.012657,13006713.0,3.044046618848614,2.044046618848614,3.1910153458471266,-0.04605704174684766
XLE,XLE (Energy),Energy,XOM,EXXON MOBIL CORP,Representative large-cap energy stock,11850,2023-03-06,111.99,113.84,111.87,113.81,113.81,0.008864,14347410.0,3.071029048078088,2.071029048078088,3.1910153458471266,-0.037601291364891765
XLE,XLE (Energy),Energy,XOM,EXXON MOBIL CORP,Representative large-cap energy stock,11850,2023-03-07,112.81,113.17,111.17,111.61,111.61,-0.019331,11525289.0,3.0116629855496906,2.0116629855496906,3.1910153458471266,-0.056205420801517025
XLE,XLE (Energy),Energy,XOM,EXXON MOBIL CORP,Representative large-cap energy stock,11850,2023-03-08,111.23,112.42,109.065,109.98,109.98,-0.014604,13509818.0,2.9676806593087233,1.9676806593087233,3.1910153458471266,-0.06998859683613157
XLE,XLE (Energy),Energy,XOM,EXXON MOBIL CORP,Representative large-cap energy stock,11850,2023-03-09,110.87,112.23,109.03,109.13,109.13,-0.007729,12961244.0,2.9447434554929264,1.9447434554929264,3.1910153458471266,-0.07717665497118498
XLE,XLE (Energy),Energy,XOM,EXXON MOBIL CORP,Representative large-cap energy stock,11850,2023-03-10,109.56,111.035,107.15,107.78,107.78,-0.012371,15795666.0,2.908314034205023,1.908314034205023,3.1910153458471266,-0.0885929025725366
XLE,XLE (Energy),Energy,XOM,EXXON MOBIL CORP,Representative large-cap energy stock,11850,2023-03-13,105.34,107.86,103.72,106.54,106.54,-0.011505,20745625.0,2.8748538812414943,1.8748538812414943,3.1910153458471266,-0.09907864122843957
XLE,XLE (Energy),Energy,XOM,EXXON MOBIL CORP,Representative large-cap energy stock,11850,2023-03-14,106.35,109.01,104.96,106.94,106.94,0.003754,18263512.0,2.8856460827116748,1.8856460827116748,3.1910153458471266,-0.09569658244761114
XLE,XLE (Energy),Energy,XOM,EXXON MOBIL CORP,Representative large-cap energy stock,11850,2023-03-15,102.82,104.2,100.2203,101.62,101.62,-0.049748,25733781.0,2.7420909613889344,1.7420909613889344,3.1910153458471266,-0.1406838688640074
XLE,XLE (Energy),Energy,XOM,EXXON MOBIL CORP,Representative large-cap energy stock,11850,2023-03-16,99.11,101.68,98.02,101.03,101.03,-0.005806,27476133.0,2.72617038126711,1.72617038126711,3.1910153458471266,-0.145673058321383
XLE,XLE (Energy),Energy,XOM,EXXON MOBIL CORP,Representative large-cap energy stock,11850,2023-03-17,100.6,101.6149,99.14,99.84,99.84,-0.011779,43199470.0,2.694058820346165,1.6940588203461648,3.1910153458471266,-0.15573617536741535
XLE,XLE (Energy),Energy,XOM,EXXON MOBIL CORP,Representative large-cap energy stock,11850,2023-03-20,99.63,102.48,99.5,102.45,102.45,0.026142,32042106.0,2.7644869060276545,1.7644869060276545,3.1910153458471266,-0.13366543046387036
XLE,XLE (Energy),Energy,XOM,EXXON MOBIL CORP,Representative large-cap energy stock,11850,2023-03-21,104.17,107.28,104.13,107.04,107.04,0.044802,31592310.0,2.8883414483915053,1.8883414483915053,3.1910153458471266,-0.09485190907951269
XLE,XLE (Energy),Energy,XOM,EXXON MOBIL CORP,Representative large-cap energy stock,11850,2023-03-22,106.8,107.175,104.56,104.59,104.59,-0.022889,14952666.0,2.822230200979272,1.8222302009792721,3.1910153458471266,-0.11556984373259171
XLE,XLE (Energy),Energy,XOM,EXXON MOBIL CORP,Representative large-cap energy stock,11850,2023-03-23,105.36,106.34,102.44,103.41,103.41,-0.011282,14385865.0,2.790389799851824,1.7903897998518241,3.1910153458471266,-0.12554798475560058
XLE,XLE (Energy),Energy,XOM,EXXON MOBIL CORP,Representative large-cap energy stock,11850,2023-03-24,101.47,103.85,100.9132,103.53,103.53,0.00116,13405812.0,2.793626652019652,1.7936266520196522,3.1910153458471266,-0.12453362041791705
XLE,XLE (Energy),Energy,XOM,EXXON MOBIL CORP,Representative large-cap energy stock,11850,2023-03-27,104.74,106.48,103.91,105.8,105.8,0.021926,14805911.0,2.8548797099918355,1.8548797099918355,3.1910153458471266,-0.10533814457920021
XLE,XLE (Energy),Energy,XOM,EXXON MOBIL CORP,Representative large-cap energy stock,11850,2023-03-28,105.44,107.65,105.19,107.12,107.12,0.012476,11047587.0,2.8904971892536935,1.8904971892536935,3.1910153458471266,-0.09417634327097035
XLE,XLE (Energy),Energy,XOM,EXXON MOBIL CORP,Representative large-cap energy stock,11850,2023-03-29,108.06,109.16,107.49,108.96,108.96,0.017177,14219122.0,2.940147259473504,1.940147259473504,3.1910153458471266,-0.07861701031933588
XLE,XLE (Energy),Energy,XOM,EXXON MOBIL CORP,Representative large-cap energy stock,11850,2023-03-30,109.55,109.57,108.52,109.49,109.49,0.004864,11578171.0,2.9544481357435832,1.9544481357435832,3.1910153458471266,-0.07413540345752911
XLE,XLE (Energy),Energy,XOM,EXXON MOBIL CORP,Representative large-cap energy stock,11850,2023-03-31,109.68,110.17,109.0499,109.66,109.66,0.001553,14417961.0,2.9590363936983928,1.9590363936983928,3.1910153458471266,-0.07269753573909865
XLE,XLE (Energy),Energy,XOM,EXXON MOBIL CORP,Representative large-cap energy stock,11850,2023-04-03,113.39,116.85,113.12,116.13,116.13,0.059001,28087681.0,3.133622499962992,2.133622499962992,3.1910153458471266,-0.017985763045241243
XLE,XLE (Energy),Energy,XOM,EXXON MOBIL CORP,Representative large-cap energy stock,11850,2023-04-04,116.26,116.7,114.17,115.02,115.02,-0.009558,16365489.0,3.1036713361083454,2.1036713361083454,3.1910153458471266,-0.027371855122054867
XLE,XLE (Energy),Energy,XOM,EXXON MOBIL CORP,Representative large-cap energy stock,11850,2023-04-05,115.35,117.0,114.31,116.99,116.99,0.017128,16479469.0,3.156831018753209,2.156831018753209,3.1910153458471266,-0.010712680256585339
XLE,XLE (Energy),Energy,XOM,EXXON MOBIL CORP,Representative large-cap energy stock,11850,2023-04-06,116.86,117.18,114.77,115.05,115.05,-0.016583,15777957.0,3.1044812899692245,2.1044812899692245,3.1910153458471266,-0.02711803187989048
XLE,XLE (Energy),Energy,XOM,EXXON MOBIL CORP,Representative large-cap energy stock,11850,2023-04-10,114.78,116.18,114.17,114.54,114.54,-0.004433,13006552.0,3.090719124410791,2.090719124410791,3.1910153458471266,-0.0314308176445669
XLE,XLE (Energy),Energy,XOM,EXXON MOBIL CORP,Representative large-cap energy stock,11850,2023-04-11,114.96,116.1999,114.38,115.35,115.35,0.007072,11758461.0,3.112576690058624,2.112576690058624,3.1910153458471266,-0.024581096386949386
XLE,XLE (Energy),Energy,XOM,EXXON MOBIL CORP,Representative large-cap energy stock,11850,2023-04-12,116.16,116.59,114.93,115.23,115.23,-0.00104,10919022.0,3.1093396103009625,2.1093396103009625,3.1910153458471266,-0.02559553204670706
XLE,XLE (Energy),Energy,XOM,EXXON MOBIL CORP,Representative large-cap energy stock,11850,2023-04-13,114.6,115.89,114.13,115.77,115.77,0.004686,12399652.0,3.1239099757148328,2.1239099757148328,3.1910153458471266,-0.021029472709877983
XLE,XLE (Energy),Energy,XOM,EXXON MOBIL CORP,Representative large-cap energy stock,11850,2023-04-14,115.9,116.66,115.12,116.05,116.05,0.002419,11530828.0,3.1314667139460868,2.1314667139460868,3.1910153458471266,-0.018661343004363173
XLE,XLE (Energy),Energy,XOM,EXXON MOBIL CORP,Representative large-cap energy stock,11850,2023-04-17,115.49,116.51,114.42,114.7,114.7,-0.011633,13260352.0,3.095038361662752,2.095038361662752,3.1910153458471266,-0.030077255601193453
XLE,XLE (Energy),Energy,XOM,EXXON MOBIL CORP,Representative large-cap energy stock,11850,2023-04-18,114.39,117.21,114.3,116.94,116.94,0.019529,17436140.0,3.1554813658276637,2.1554813658276637,3.1910153458471266,-0.011135634325829202
XLE,XLE (Energy),Energy,XOM,EXXON MOBIL CORP,Representative large-cap energy stock,11850,2023-04-19,116.08,116.9,115.77,116.57,116.57,-0.003164,10682605.0,3.145497422786185,2.145497422786185,3.1910153458471266,-0.014264401178822217
XLE,XLE (Energy),Energy,XOM,EXXON MOBIL CORP,Representative large-cap energy stock,11850,2023-04-20,115.125,115.68,113.2298,115.64,115.64,-0.007978,17038747.0,3.120402644347197,2.120402644347197,3.1910153458471266,-0.022128599786217618
XLE,XLE (Energy),Energy,XOM,EXXON MOBIL CORP,Representative large-cap energy stock,11850,2023-04-21,116.49,116.88,115.26,116.01,116.01,0.0032,14315329.0,3.130387932809108,2.130387932809108,3.1910153458471266,-0.01899941130553351
XLE,XLE (Energy),Energy,XOM,EXXON MOBIL CORP,Representative large-cap energy stock,11850,2023-04-24,115.92,118.885,115.88,118.2,118.2,0.018878,15831314.0,3.189483396204678,2.189483396204678,3.1910153458471266,-0.0004800821921594478
XLE,XLE (Energy),Energy,XOM,EXXON MOBIL CORP,Representative large-cap energy stock,11850,2023-04-25,117.55,117.74,115.63,116.52,116.52,-0.014213,12179825.0,3.144151268694421,2.144151268694421,3.1910153458471266,-0.014686258783962236
XLE,XLE (Energy),Energy,XOM,EXXON MOBIL CORP,Representative large-cap energy stock,11850,2023-04-26,116.03,117.09,114.68,115.45,115.45,-0.009183,15566086.0,3.115278527594,2.115278527594,3.1910153458471266,-0.02373439486954909
